Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Abomasnow (Shadow),89.7,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Gligar (Shadow),89.7,207,ground,flying,108.5,145.3,131,2064887,31,1498,Wing Attack,Night Slash,Dig,5,7,5,75000
Forretress (Shadow),89.4,205,bug,steel,109.8,145.5,128,2043769,24.5,1499,Bug Bite,Sand Tomb,Rock Tomb,14,17,5,75000
Abomasnow,89.3,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Quagsire (Shadow),89.2,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail*,Stone Edge,4,7,3,50000
Wormadam (Trash),88.9,413,bug,steel,105,151.1,135,2141526,41,1500,Sucker Punch,Bug Buzz,Iron Head,9,8,1,10000
Zweilous,88.8,634,dark,dragon,120.5,110.2,140,1859224,30.5,1498,Dragon Breath,Body Slam,Dark Pulse,9,13,5,75000
Gligar,88.7,207,ground,flying,108.5,145.3,131,2064887,31,1498,Wing Attack,Dig,Night Slash,7,5,5,75000
Mandibuzz,88.7,630,dark,flying,92.1,151.3,175,2439745,26.5,1500,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Quagsire,88.7,195,water,ground,111.3,112.7,161,2018332,28.5,1499,Mud Shot,Aqua Tail*,Stone Edge,4,7,3,50000
Hydreigon (Shadow),88.5,635,dark,dragon,136.1,104.5,116,1649711,15,1500,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Toucannon,88.4,733,normal,flying,137.3,96.8,123,1634212,20.5,1500,Peck,Beak Blast*,Drill Peck,7,5,1,10000
Morgrem,88.2,860,dark,fairy,124.8,98,147,1798764,49.5,1500,Sucker Punch,Foul Play,Play Rough,6,9,5,50000
Sableye (Shadow),88.2,302,dark,ghost,119.7,124.6,125,1864140,47,1496,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Guzzlord,88.1,799,dark,dragon,113.3,66.1,265,1982915,19.5,1499,Dragon Tail,Brutal Swing,Sludge Bomb,3,5,20,100000
Sableye,88.1,302,dark,ghost,119.7,124.6,125,1864140,47,1496,Shadow Claw,Foul Play,Power Gem,5,7,5,75000
Steelix,88.1,208,steel,ground,98.4,183.3,126,2272944,23.5,1497,Thunder Fang,Psychic Fangs,Crunch,6,8,5,75000
Togetic,88.1,176,fairy,flying,110.2,150.2,123,2035132,36.5,1498,Fairy Wind,Psyshock,Heat Wave,5,5,3,50000
Articuno (Shadow),87.9,144,ice,flying,115.1,136.9,123,1938647,17.5,1496,Powder Snow,Triple Axel,Hurricane*,6,9,20,100000
Dodrio,87.9,85,normal,flying,143.8,98.4,110,1556601,23.5,1496,Peck,Drill Peck,Brave Bird,5,7,3,50000
Flamigo,87.9,973,flying,fighting,138,95.6,123,1622436,20,1500,Wing Attack,Upper Hand,Brave Bird,5,7,3,75000
Wigglytuff,87.8,40,normal,fairy,115.1,75.5,223,1938893,29,1493,Charm,Icy Wind,Swift,6,5,1,10000
Gliscor (Shadow),87.7,472,ground,flying,115.7,144.5,116,1938911,21,1499,Wing Attack,Sand Tomb,Acrobatics,5,7,5,75000
Moltres (Galarian),87.6,146,dark,flying,115.1,134.7,124,1922500,17.5,1488,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Steelix (Shadow),87.6,208,steel,ground,98.4,183.3,126,2272944,23.5,1497,Thunder Fang,Psychic Fangs,Crunch,6,8,5,75000
Zweilous (Shadow),87.6,634,dark,dragon,120.5,110.2,140,1859224,30.5,1498,Dragon Breath,Body Slam,Dark Pulse,9,13,5,75000
Umbreon,87.5,197,dark,none,90.2,177,156,2491764,27,1500,Snarl,Foul Play,Last Resort*,4,5,5,75000
Talonflame,87.4,663,fire,flying,121.4,112.7,135,1846682,25.5,1500,Incinerate*,Fly,Brave Bird,3,3,1,10000
Furret,87.2,162,normal,none,115.3,105.4,160,1945534,34.5,1498,Sucker Punch,Swift,Trailblaze,5,7,1,10000
Weezing (Galarian) (Shadow),87,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Kingambit,86.8,983,dark,steel,127.3,112,124,1768045,15.5,1500,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Thievul,86.8,828,dark,none,119.9,121.9,127,1856410,26,1494,Sucker Punch,Night Slash,Play Rough,5,9,1,10000
Malamar,86.6,687,dark,psychic,117.2,116.6,139,1899127,23.5,1493,Psywave,Superpower,Foul Play,10,10,3,50000
Pelipper,86.6,279,water,flying,123.3,128.7,115,1825336,26,1500,Wing Attack,Weather Ball (Water),Hurricane,5,9,3,50000
Trumbeak (Shadow),86.6,732,normal,flying,133.7,94.3,132,1664964,46,1492,Peck,Drill Peck,Rock Blast,5,5,1,10000
Lanturn,86.5,171,water,electric,104.8,105.5,194,2145463,27,1500,Water Gun,Surf,Thunderbolt,15,19,3,50000
Malamar (Shadow),86.5,687,dark,psychic,117.2,116.6,139,1899127,23.5,1493,Psywave,Foul Play,Superpower,10,10,3,50000
Drapion (Shadow),86.4,452,poison,dark,117.9,136.9,118,1903472,22.5,1500,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Gourgeist (Large),86.4,711,ghost,grass,115.9,137.2,122,1940488,22,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Gourgeist (Super),86.4,711,ghost,grass,115.1,131.6,129,1953944,21,1500,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Gyarados (Shadow),86.4,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Murkrow (Shadow),86.4,198,dark,flying,143.2,81.1,135,1567720,41,1499,Peck,Drill Peck,Foul Play,5,5,3,50000
Pidgeot,86.3,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Wing Attack*,Air Cutter*,Brave Bird,5,7,1,10000
Miltank,86.2,241,normal,none,105.4,134.8,150,2130680,24,1500,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Fearow,86,22,normal,flying,131.5,104.6,124,1705662,28,1500,Peck,Drill Peck,Drill Run,5,6,1,10000
Hippowdon (Shadow),85.9,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Hydreigon,85.8,635,dark,dragon,136.1,104.5,116,1649711,15,1500,Dragon Breath,Brutal Swing*,Fly,9,12,5,75000
Qwilfish,85.8,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Rufflet,85.8,627,normal,flying,126.7,92.2,152,1774904,46.5,1500,Peck,Brave Bird,Fly,7,6,5,75000
Camerupt (Shadow),85.7,323,fire,ground,133.6,100.5,125,1678150,25.5,1499,Incinerate,Rock Tomb,Scorching Sands,3,3,3,50000
Dragalge,85.7,691,poison,dragon,117.9,143.1,113,1906032,23.5,1500,Acid,Aqua Tail,Outrage,5,8,3,50000
Hawlucha,85.7,701,fighting,flying,127.5,107.6,128,1756378,23,1497,Low Kick,Flying Press,Aerial Ace,5,6,5,75000
Camerupt,85.6,323,fire,ground,133.6,100.5,125,1678150,25.5,1499,Incinerate,Rock Tomb,Scorching Sands,3,3,3,50000
Pangoro,85.6,675,fighting,dark,133.9,93.7,133,1669812,19,1500,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Qwilfish (Shadow),85.6,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Drapion,85.5,452,poison,dark,117.9,136.9,118,1903472,22.5,1500,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Gourgeist (Average),85.5,711,ghost,grass,115.9,145.1,115,1933691,23.5,1498,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Golisopod,85.4,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Hippowdon,85.4,450,ground,none,116.2,116.8,142,1926191,18,1500,Sand Attack,Weather Ball (Rock),Scorching Sands,9,13,3,50000
Lickitung,85.4,108,normal,none,96.6,127.7,186,2295742,50,1491,Lick,Body Slam*,Power Whip,12,17,3,50000
Gyarados,85.3,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail*,Twister,9,10,1,10000
Tentacruel,85.3,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Marowak,85.2,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Runerigus,85.2,867,ground,ghost,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Rock Tomb,7,7,3,50000
Swampert (Shadow),85.2,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Toxapex,85.2,748,poison,water,91.9,224.3,118,2433080,38,1497,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Dubwool,85.1,832,normal,none,110.6,143,128,2025159,25.5,1497,Double Kick,Body Slam,Payback,3,5,3,10000
Talonflame (Shadow),85.1,663,fire,flying,121.4,112.7,135,1846682,25.5,1500,Incinerate*,Flame Charge,Fly,3,3,1,10000
Murkrow,84.9,198,dark,flying,143.2,81.1,135,1567720,41,1499,Peck,Drill Peck,Foul Play,5,5,3,50000
Hippopotas (Shadow),84.8,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Body Slam,13,9,3,50000
Scizor (Shadow),84.7,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Skarmory,84.7,227,steel,flying,105.5,166.6,121,2126860,27,1500,Air Slash,Brave Bird,Sky Attack,7,6,5,75000
Araquanid,84.6,752,water,bug,97.4,174,136,2306355,32,1499,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Dudunsparce,84.6,982,normal,none,116.1,98.6,169,1934787,20.5,1500,Rollout,Body Slam,Drill Run,3,4,3,50000
Mantine,84.6,226,water,flying,105.5,166.6,121,2126860,27,1500,Wing Attack,Aerial Ace,Ice Beam,6,7,5,75000
Gourgeist (Small),84.5,711,ghost,grass,116.9,153,107,1913042,25,1499,Incinerate,Shadow Ball,Seed Bomb,3,2,5,75000
Greninja (Shadow),84.5,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Emolga,84.4,587,electric,flying,127.6,110.2,125,1758025,39.5,1498,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Stunfisk,84.4,618,ground,electric,101.5,126.7,172,2211731,26,1499,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Greedent,84.3,820,normal,none,106.9,110.7,177,2094312,23.5,1497,Mud Shot,Body Slam,Trailblaze,4,5,1,10000
Weezing (Galarian),84.3,110,poison,fairy,117.7,139.5,116,1904809,24.5,1499,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Marowak (Shadow),84.2,105,ground,none,109.6,148.9,125,2040576,31.5,1496,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Dragonite (Shadow),84.1,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Cradily (Shadow),84,346,rock,grass,105.2,140.3,144,2126277,25.5,1497,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Hippopotas,84,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Body Slam,13,9,3,50000
Heracross,83.8,214,bug,fighting,134.7,108.4,114,1664501,17.5,1500,Fury Cutter,Upper Hand,Rock Tomb,10,13,3,50000
Drampa,83.7,780,normal,dragon,136.8,104.2,115,1640140,19,1499,Dragon Breath,Swift,Dragon Pulse,9,14,5,75000
Swampert,83.7,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Earthquake,5,8,3,10000
Noctowl,83.6,164,normal,flying,105.3,120.2,168,2126381,28,1500,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Trumbeak,83.6,732,normal,flying,134.1,93.3,134,1675846,48.5,1499,Peck,Drill Peck,Rock Blast,5,5,1,10000
Fletchinder (Shadow),83.5,662,fire,flying,123.3,102.6,143,1810501,47.5,1495,Peck,Fly,Heat Wave,6,6,1,10000
Scizor,83.5,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Urshifu (Single Strike),83.5,892,fighting,dark,136.6,97.8,121,1616195,15,1489,Sucker Punch,Brick Break,Dynamic Punch,6,7,20,100000
Oinkologne (Female),83.4,916,normal,none,109.6,111.5,167,2041611,22.5,1500,Tackle,Body Slam,Trailblaze,12,15,1,10000
Mightyena (Shadow),83.3,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Munchlax,83.3,446,normal,none,103.2,96.6,218,2172279,30,1499,Tackle,Body Slam,Bulldoze,12,15,5,10000
Greninja,83.2,658,water,dark,139.6,100.4,115,1611397,21,1500,Water Shuriken,Hydro Cannon*,Night Slash,3,3,3,10000
Oranguru,83.2,765,normal,psychic,110.2,130.1,142,2034972,23,1498,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Spidops,83.2,918,bug,none,111,138.9,131,2019559,37.5,1497,Shadow Claw,Lunge,Rock Tomb,6,7,1,50000
Charizard (Shadow),83.1,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Genesect,83.1,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal)*,10,14,20,100000
Spinda,83.1,327,normal,none,110.1,110.1,142,1720678,50,1380,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Drifblim,83,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Hex,Icy Wind,Shadow Ball,4,4,5,75000
Samurott (Hisuian),83,503,water,dark,132.6,96.8,132,1694230,20,1499,Fury Cutter,Sacred Sword,Icy Wind,9,12,3,10000
Pidgeot (Shadow),82.9,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Wing Attack*,Brave Bird,Air Cutter*,7,5,1,10000
Toxicroak (Shadow),82.8,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Castform,82.7,351,normal,none,112.6,121.3,146,1993800,39.5,1500,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Fletchinder,82.7,662,fire,flying,123.3,102.6,143,1810501,47.5,1495,Peck,Fly,Heat Wave,6,6,1,10000
Vespiquen,82.7,416,bug,flying,108.9,143.5,132,2061993,28,1499,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Lopunny,82.6,428,normal,none,112.1,143.6,124,1996020,27.5,1499,Low Kick,Triple Axel,Focus Blast,6,10,3,50000
Sandslash,82.6,28,ground,none,120.5,123,125,1852528,23.5,1497,Sand Attack,Night Slash*,Rock Tomb,9,13,3,50000
Bombirdier,82.5,962,flying,dark,127.8,117.2,117,1752237,22,1497,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Incineroar,82.5,727,fire,dark,125.3,109.2,131,1791290,18.5,1497,Fire Fang,Brutal Swing,Blast Burn*,6,9,3,10000
Jumpluff (Shadow),82.5,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Aerial Ace,Acrobatics*,5,7,3,50000
Qwilfish (Hisuian),82.5,211,dark,poison,128.1,112.4,121,1741533,26,1494,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Toxicroak,82.5,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Lileep,82.4,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Tyranitar,82.4,248,rock,dark,129.7,111.4,120,1734171,14.5,1500,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Dartrix,82.3,723,grass,flying,112.5,115.5,154,2001159,36.5,1500,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Marshtomp (Shadow),82.3,259,water,ground,120.4,111.4,139,1864979,33.5,1500,Mud Shot,Surf,Sludge,5,5,3,10000
Charizard,82.2,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Flygon,82,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Scrafty,82,560,dark,fighting,110.4,156.7,117,2024611,24.5,1495,Counter,Foul Play,Upper Hand,7,7,3,50000
Whiscash (Shadow),82,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Zapdos,82,145,electric,flying,135.7,104.7,115,1633229,15.5,1493,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Charjabug,81.9,737,bug,electric,114.8,134.8,126,1949448,36.5,1497,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Palossand,81.9,770,ghost,ground,116.6,123,134,1921866,23,1499,Astonish,Shadow Ball,Sand Tomb,5,4,3,50000
Pawniard,81.9,624,dark,steel,132,107.8,119,1692305,49,1497,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Linoone,81.8,264,normal,none,114.1,111.8,154,1965124,38.5,1497,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Zapdos (Shadow),81.7,145,electric,flying,138.1,103.5,112,1601039,15,1489,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Dragonite,81.6,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Litleo,81.6,667,fire,normal,121.6,105.8,144,1851844,48.5,1500,Incinerate,Flame Charge,Crunch,3,3,3,10000
Mightyena,81.6,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Gastrodon,81.5,423,water,ground,113.2,103.4,168,1966737,24,1495,Mud Slap,Body Slam,Water Pulse,4,5,3,50000
Golbat (Shadow),81.5,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Raikou,81.5,243,electric,none,132,110.6,116,1693495,16,1498,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Salamence (Shadow),81.5,373,dragon,flying,143.5,93.1,117,1562473,14.5,1497,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Xatu (Shadow),81.4,178,psychic,flying,132.2,107.9,119,1698214,25.5,1500,Peck,Psyshock,Aerial Ace,5,6,3,50000
Morpeko (Full Belly),81.3,877,electric,dark,140.5,96.3,118,1596126,28.5,1499,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Tyranitar (Shadow),81.3,248,rock,dark,129.7,111.4,120,1734171,14.5,1500,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Whiscash,81.3,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Charjabug (Shadow),81.2,737,bug,electric,114.8,134.8,126,1949448,36.5,1497,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Decidueye (Hisuian),81.2,724,grass,fighting,126.9,109.5,127,1764738,19,1499,Psycho Cut,Trailblaze,Aura Sphere,5,5,3,10000
Flygon (Shadow),81.2,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Ursaring (Shadow),81.1,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Swift,Close Combat,5,6,3,50000
Raticate (Alolan),81,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Return<sup>†</sup>,6,9,1,10000
Overqwil,80.9,904,dark,poison,131,106.9,122,1708017,18.5,1498,Poison Sting,Aqua Tail,Shadow Ball,4,6,5,75000
Salazzle,80.9,758,poison,fire,147,91.2,114,1529161,22.5,1499,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Vigoroth (Shadow),80.8,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Celesteela,80.6,797,steel,flying,119.6,120.7,130,1876702,18,1500,Air Slash,Body Slam,Iron Head,4,6,20,100000
Lugia,80.6,249,psychic,flying,102.4,167.1,127,2174273,15,1497,Dragon Tail,Fly,Aeroblast*,4,7,20,100000
Grimmsnarl,80.5,861,dark,fairy,136.3,90.8,133,1646354,19.5,1499,Sucker Punch,Foul Play,Play Rough,6,9,5,50000
Skarmory (Shadow),80.5,227,steel,flying,105.5,166.6,121,2126860,27,1500,Air Slash,Brave Bird,Sky Attack,7,6,5,75000
Golurk (Shadow),80.4,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Claydol,80.3,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Shadow Ball,5,5,3,50000
Excadrill,80.3,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Excadrill (Shadow),80.3,530,ground,steel,142.7,78.8,140,1573041,17,1500,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Raikou (Shadow),80.3,243,electric,none,133.6,109.9,113,1659339,15.5,1489,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Garchomp,80.1,445,dragon,ground,132.5,101.5,126,1693583,14,1500,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Tentacruel (Shadow),80.1,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Aerodactyl,80,142,rock,flying,134.4,103.4,120,1667018,20,1497,Dragon Breath,Rock Slide,Earth Power,12,14,5,75000
Armaldo (Shadow),80,348,rock,bug,133.9,109.1,115,1680484,19.5,1500,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Vigoroth,80,288,normal,none,116.2,114.1,145,1923360,28.5,1497,Counter,Body Slam,Rock Slide,6,8,5,75000
Centiskorch,79.9,851,fire,bug,128.7,99.4,136,1739873,18.5,1500,Ember,Lunge,Heat Wave,5,5,5,75000
Larvesta,79.9,636,bug,fire,130.8,99.8,131,1710210,45.5,1499,Ember,Flame Wheel,Bug Buzz,5,7,5,75000
Sandslash (Shadow),79.9,28,ground,none,120.5,123,125,1852528,23.5,1497,Sand Attack,Night Slash*,Rock Tomb,9,13,3,50000
Marshtomp,79.8,259,water,ground,119.9,111.5,140,1871384,34.5,1499,Mud Shot,Surf,Sludge,5,5,3,10000
Golbat,79.7,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Lileep (Shadow),79.7,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Slowking (Galarian),79.5,199,poison,psychic,117.3,117.9,138,1909734,20.5,1499,Acid,Psyshock,Shadow Ball,5,7,3,50000
Ampharos (Shadow),79.4,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Pawmot,79.4,923,electric,fighting,145.1,95.5,112,1551733,21,1500,Thunder Shock,Brick Break*,Wild Charge,5,5,3,75000
Victreebel (Shadow),79.2,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Drifblim (Shadow),79.1,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Astonish,Icy Wind,Shadow Ball,5,5,5,75000
Skuntank,79.1,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Victreebel,79.1,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
